Plot Data
Time	Input_Slew RealValue	Input_BoomLift RealValue	Input_DipperArm RealValue	Input_Bucket RealValue	ForceR_Slew r	Cylinder_BoomLift_L x	Cylinder_DipperArm x	Cylinder_Bucket x
0.0012	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-8.7694258766199566549e-6	682.37598464204302218	405.32138698603472449	443.91122761675973152
0.0192	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.004029180728254015513	681.5697608409196846	404.97049382504991399	442.09908835176935327
0.024	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.0058063529513497280296	681.16209887275363144	404.52772141858042687	442.63775260377980203
0.0252	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.0062643477761336399667	681.05685728714468041	404.41144612771716993	442.8257367741151711
0.0408	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.010929065804641785453	679.99071433569645251	404.54216160122825841	443.77990527649978958
0.0576	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.013985128829111235713	679.74016874158269275	406.88104405294166099	442.85017374664158751
0.0744	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.016826180813177941259	680.03151179455971942	407.67430605663355436	445.1146854763542251
0.0912	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.019685140546217842067	680.60945690302787625	408.52220443885579471	446.06199313886486379
0.108	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.020325605042042973331	681.03716014070460005	409.05922706894779139	445.28084895286491474
0.1248	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.017953855833751371229	680.83402827328541207	407.79778400018886941	445.27516803408906299
0.1416	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.012846593343830077158	680.23034572522522012	407.14328555581511182	443.62511833764506264
0.1584	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.0025294369264348215767	679.40396350202149733	406.61200750565842554	444.02570915796212603
0.1752	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.012762989881449937971	678.59903838755280958	407.91170086741743717	444.26633658201285471
0.192	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.022420825497838151041	677.53292220412038205	408.95429492801417837	445.95277972385014209
0.21	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.024343789324399272428	676.10855276225572652	410.42012730828867006	445.85450934514813071
0.2268	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.023563925202771202061	674.89017439375720642	411.16632760036395666	445.61305415605465896
0.2436	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.021091746374394992197	674.21695396597988292	411.05039653208632444	446.21807617148880354
0.2604	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.019462093346976322428	674.35446844322962079	411.07734188890322002	445.94328681633498945
0.2772	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.017478655073161965261	675.00794796948412113	410.71672785237120706	445.60107588531940337
0.294	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.013454434340974239653	675.83242676400118398	409.85694232504965839	445.35673833988653314
0.3108	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.00868024153138755028	676.58816226483770606	409.29863852680989567	444.46212238260386584
0.3276	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.0046000663958391651426	677.07930651935612332	408.7412031667116139	444.48646956354008353
0.3444	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.0017688115838246554114	677.34446748816833406	409.04343612881319814	444.41654706292257515
0.3612	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-5.3359173150741806926e-5	677.28671719706051135	409.42313024951647549	445.04400871171702647
0.378	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.0031485935085816514969	676.89043418707274213	409.967878321172293	445.18283790532564126
0.3948	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.0084512295948347485042	676.21156026018832108	410.00407021302464727	445.39225964362981358
0.4116	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.014076812498681716759	675.663200605803695	410.05699357910793879	445.14619382488763222
0.4284	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.016794122097213107225	675.58916703818420046	410.05067300460819979	445.25319807407868211
0.4452	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.016969360348447246056	675.90473527051256042	410.0995265483945218	445.31752143930538068
0.462	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.017226129168352848769	676.39118191507122901	410.03645710018031423	445.26470395187010354
0.4788	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.017786414244904524135	676.87098615917000188	409.74959594850457734	445.13781755172851717
0.4956	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.019138125547637899193	677.20809366716628119	409.4123165657631489	444.81167426101251294
0.5124	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.020591254594567714314	677.37293035032973876	409.13171446710060764	444.65946122403386198
0.5292	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.020007150840478424292	677.41938630660763465	409.20349340754137302	444.64876901888283101
0.5472	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.016551336626522993034	677.33547939258676251	409.51564368336613597	444.96058238894522674
0.564	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.012094590229867075576	677.10817559110523689	409.86442463151826132	445.19503336969199836
0.5808	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.0076778933685492621597	676.76898125656089178	409.98084634152939998	445.29840470753180171
0.5976	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	-0.0025629268861540959422	676.50520815260904328	409.96755896762118709	445.17608178319898116
0.6144	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.0030633448091912066254	676.44715130954887172	409.87766180033094088	445.14349873849891992
0.6312	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.0083652059686418079459	676.49928467178722258	409.82111795315756808	445.10274500749079607
0.648	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.013833785074878037283	676.54194794576130789	409.78691081342390135	445.07659656902256984
0.666	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.019419526285427732987	676.54824911395337494	409.77838069878526994	445.07727417273343917
0.6828	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.023106705023363181134	676.55487669671913409	409.7800417221512248	445.09522808651979631
0.6996	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.024548366013736090674	676.56232475793581216	409.78184270102212849	445.09749356331707304
0.7164	4.6784162521362304688	4.6784162521362304688	-4.6784162521362304688	4.6784162521362304688	0.023530920487816311959	676.57332871224434712	409.78069405022142746	445.09431376418240234
