eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
37.54,0.34243231323703927,0,0.0072273575,0.1015625,5.6836042,-0.0054811914,7.514912,0.0022110939025878906,39,2496,7088.5191145,2496
37.54,0.3412015481189599,0,0.007405243,0.09375,5.682299,-0.02206128,7.8334723,0.0006107687950134277,40,2560,7267.228533500001,2560
37.54,0.35292654247420346,0,0.0031003866,0.015625,5.6798954,-0.004452737,7.731853,0.004685342311859131,41,2624,7442.6881807,2624
37.54,0.34929539289922745,0,0.0028229149,0.0234375,5.674952,-0.007810555,7.5163546,0.007293641567230225,42,2688,7622.9422058,2688
37.54,0.36002916649421884,0,0.003523111,0.03515625,5.674723,-0.011033908,7.9483256,0.009479522705078125,43,2752,7792.7034091000005,2752
37.54,0.3518770556597499,0,0.0034312815,0.03125,5.6770372,-0.006880672,7.61574,0.01219850778579712,44,2816,7978.1483022,2816
37.54,0.3461484725839654,0,0.0023463785,0.02734375,5.6778636,-0.006355627,7.7248125,0.008262038230895996,45,2880,8159.514016200001,2880
37.54,0.33407322174928317,0,0.0010526984,0.0,5.6798673,0.00049874233,7.4009504,0.01619267463684082,46,2944,8345.9425136,2944
37.54,0.32720708348326555,0,0.0014940877,0.00390625,5.681241,-0.004917685,8.085179,0.016042709350585938,47,3008,8530.7395703,3008
37.54,0.33528216282132084,0,0.008004674,0.109375,5.683072,-0.014631915,7.3820415,0.015326142311096191,48,3072,8715.6155862,3072
37.54,0.3588487323640752,0,0.0043097944,0.05078125,5.6862526,-0.012048766,7.932762,0.025228023529052734,49,3136,8887.892408400001,3136
37.54,0.33643586727313674,0,0.0037568146,0.04296875,5.688335,-0.002538759,7.292528,0.029051601886749268,50,3200,9079.8715937,3200
37.54,0.3404457059625649,0,0.0020605703,0.015625,5.690836,-0.0055110124,7.3776093,0.026453614234924316,51,3264,9265.3349081,3264
